replicate,Rep1,Rep1,Rep1,Rep1,Rep2,Rep2,Rep2,Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2
measurement,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter
ACCS,P1P2,0.286526347,0.036764397,10,P1P2,0.754655359,0.012422262,10,P1P2,0.287595409,0.019928352,10
ACCSL,ENST00000378832.1,0.197835731,-0.005240871,10,ENST00000378832.1,0.066240058,-0.027524254,10,ENST00000378832.1,0.03395872,-0.018873455,10
ACD,P1P2,0.217340181,0.002682341,10,P1P2,0.308431236,-0.014782259,10,P1P2,0.740660911,-0.003615843,10
ACE,P2,0.060978941,-0.043983021,10,P2,0.656121034,-0.014247805,10,P2,0.114096284,-0.031567383,10
ACE2,P1P2,0.041635691,-0.035321963,10,P1P2,0.052498204,-0.032645332,10,P1P2,0.01797829,-0.03368615,10
ACER1,P1P2,0.990831547,0.016240811,10,P1P2,0.577457253,-0.001158341,10,P1P2,0.626824189,0.011458415,10
ACER2,P1P2,0.422940818,-0.00578265,10,P1P2,0.085666288,0.029177513,10,P1P2,0.819736204,0.012906725,10
ACER3,P1P2,0.237901396,-0.026072076,10,P1P2,0.063766373,-0.018552861,10,P1P2,0.033301894,-0.026311432,10
ACHE,P1,0.177635246,0.011601257,9,P2,0.023914161,0.026367523,9,P1,0.199318229,0.015077414,9
ACIN1,P2,0.009641451,-0.035692965,10,P2,0.018708423,-0.042560207,10,P2,0.00069003,-0.03415213,10
ACKR2,P1P2,0.632770884,0.005723859,10,P1P2,0.910152921,0.026930197,10,P1P2,0.480864795,0.002545679,10
ACKR3,P2,0.289695051,-0.021427045,10,P1,0.308086007,-0.078413871,10,P2,0.294381174,-0.019755136,10
ACKR4,P1P2,0.359235111,0.008802458,10,P1P2,0.889088675,0.011110308,10,P1P2,0.77500202,0.013769312,10
